,null_counts,null_percent,dtype,sample_value
Mona Unique Session ID,0,0.0,object,003b4c8a-fa26-4d7c-bb47-c27109b757e3.2019-07-26T11:31:28.453242+03:00
Mona Unique User ID,169,0.22,object,22975d7c-8975-4578-9286-9d8221d83a14
Created on,0,0.0,datetime64[ns],2019-10-07 08:21:19
Created by,0,0.0,object,Brooke Sauro
Pipeline,0,0.0,object,Mona
Date of Referral,0,0.0,datetime64[ns],2019-08-05 00:00:00
First Referral,0,0.0,object,Yes
In IRAP Process,0,0.0,object,No
Screening Stage,0,0.0,object,Screening Complete
Screener,1,0.0,object,Tiba Fatli
Date of Screening Start,0,0.0,datetime64[ns],2019-07-26 00:00:00
Program Eligibilities,8,0.01,object,Vulnerability-Based RST and Protection
Legal Assistance Identified,41,0.05,object,Vulnerability RST or Protection Referral (Unspecified)
ILI Assistance Provided ,728,0.95,object,Non-Legal Services Information
Mona Case Type Identification,43,0.06,object,Accurate
 Mona Follow up Needed,237,0.31,object,No
Vulnerability Threshold,77,0.1,float64,0.0
Screening Decision,5,0.01,object,Cannot Represent
Date of Screening Decision,0,0.0,datetime64[ns],2019-07-26 00:00:00
Flags,704,0.92,object,Unresponsive
Client Location (Country),162,0.21,object,Lebanon
Client Nationality,156,0.2,object,Syrian
process_days,0,0.0,float64,0.0
process_daysA,0,0.0,float64,1.0
process_daysC,0,0.0,float64,1.0
Name,173,0.22,object,محمد
Language,169,0.22,object,ara
Created On,169,0.22,datetime64[ns],2019-07-27 23:44:20
URN:Facebook,177,0.23,float64,1224418661015783.0
URN:Telegram,761,0.99,object,701459180
Field:Age,177,0.23,float64,35.0
Field:Gender,174,0.23,float64,1.0
Field:Nationality1,175,0.23,object,nationality_Syrian
Field:Nationality2,761,0.99,object,لا
Field:Current Country,183,0.24,object,curr_country_Lebanon
Field:Relative Abroad Name1,366,0.48,object,Name: محمد
Field:Relative Abroad Name2,505,0.66,object,Name: محمد
Field:Relative Abroad Name3,612,0.8,object,Name: احمد
Field:Relative Abroad Location1,366,0.48,object,Location: Germany
Field:Relative Abroad Location2,505,0.66,object,Location: Germany
Field:Relative Abroad Location3,612,0.8,object,Location: Germany
Field:Firstname,173,0.22,object,محمد
Field:Country Of Origin,769,1.0,object,
Field:Rsc,183,0.24,object,ICMC
Field:Unhcr Case File Family Name 1,353,0.46,object,زوجتي
Field:Unhcr Case File Family Name 2,407,0.53,object,محمد
Field:Rsc Case Status Portal,183,0.24,object,rsc.icmc.net/login
Field:Rsc Contact Email,183,0.24,object,info.rsc@icmc.net
Field:Unhcr Number,371,0.48,object,245-13C25631
Field:Phone Number,260,0.34,object,96371051116
Field:Unhcr Case Status Portal,695,0.9,object,results.unhcr.org.tr/
Field:Aggr 1 Threat Within Last 6 Months,656,0.85,object,Threat Severity: 5
Field:Aggr 1 Attack Within Last 6 Months,661,0.86,object,Attack Severity: 1
Field:Aggr 1 Mst Svr Threat,755,0.98,object,5
Field:Aggr 1 Mst Svr Attack,699,0.91,object,Severity of Most Serious Attack: 5
Field:Aggr 1 Mst Svr Only Threats,704,0.92,object,Severity of Most Serious Threat if Only Threats: 5
Field:Threat Within Last 6 Months,623,0.81,object,Threat Severity: 5
Field:Attack Within Last 6 Months,672,0.87,object,Attack Severity: 1
Field:Mst Svr Threat,760,0.99,object,5
Field:Mst Svr Attack,716,0.93,object,5
Field:Mst Svr Only Threats,682,0.89,object,5
Field:Aggr 2 Attack Within Last 6 Months,734,0.95,object,Attack Severity: 2
