,null_counts,total_counts,null_percent,dtype,sample_value
Mona Follow up Needed,7053,7676,0.91884,object,No
Client Location (Country),6848,7676,0.89213,object,Lebanon
Client Nationality,6831,7676,0.88992,object,Syrian
Created by,6590,7676,0.85852,object,Brooke Sauro
Created on,6590,7676,0.85852,datetime64[ns],12/11/19 6:01
Created On,199,7676,0.02592,datetime64[ns],10/16/19 19:25
curr_country_Burkina Faso,0,7676,0,uint8,0
curr_country_Egypt,0,7676,0,uint8,0
curr_country_France,0,7676,0,uint8,0
curr_country_Germany,0,7676,0,uint8,0
curr_country_Indonesia,0,7676,0,uint8,0
curr_country_Iraq,0,7676,0,uint8,0
curr_country_Jessica.,0,7676,0,uint8,0
curr_country_Jordan,0,7676,0,uint8,0
curr_country_Kenya,0,7676,0,uint8,0
curr_country_Lebanon,0,7676,0,uint8,0
curr_country_Libya,0,7676,0,uint8,0
curr_country_México.,0,7676,0,uint8,0
curr_country_Malaysia,0,7676,0,uint8,0
curr_country_Oman,0,7676,0,uint8,0
curr_country_Qatar,0,7676,0,uint8,0
curr_country_Saudi Arabia,0,7676,0,uint8,0
curr_country_Sudan,0,7676,0,uint8,0
curr_country_Syria,0,7676,0,uint8,0
curr_country_Thailand,0,7676,0,uint8,0
curr_country_the United Arab Emirates,0,7676,0,uint8,0
curr_country_the United Kingdom,0,7676,0,uint8,0
curr_country_the United States,0,7676,0,uint8,0
curr_country_Turkey,0,7676,0,uint8,0
curr_country_إيطاليا,0,7676,0,uint8,0
curr_country_جزيرة كوس اليونان,0,7676,0,uint8,0
curr_country_جورجيا تبليسي,0,7676,0,uint8,0
curr_country_أوكرانيا,0,7676,0,uint8,0
curr_country_يونان,0,7676,0,uint8,0
curr_country_قطاع غزة,0,7676,0,uint8,0
curr_country_Yemen,0,7676,0,uint8,0
curr_country_كندا,0,7676,0,uint8,0
curr_country_اليونان,0,7676,0,uint8,0
curr_country_نعم أنا في إيطاليا,0,7676,0,uint8,0
Date of Referral,6592,7676,0.85878,datetime64[ns],8/5/19 0:00
Date of Screening Decision,6887,7676,0.89721,datetime64[ns],7/26/19 0:00
Date of Screening Start,6650,7676,0.86634,datetime64[ns],7/26/19 0:00
Field:Age,2538,7676,0.33064,float64,35
Field:Aggr 1 Attack Within Last 6 Months,7416,7676,0.96613,object,Attack Severity: 1
Field:Aggr 1 Date Most Recent Incident,7094,7676,0.92418,object,20-7-2019.
Field:Aggr 1 Incident Frequency,7197,7676,0.9376,object,Frequency: بضع مرات في السنة
Field:Aggr 1 Moved to Avoid Aggr,7381,7676,0.96157,object,Moved to Avoid This Aggressor: Unable
Field:Aggr 1 Mst Svr Attack,7472,7676,0.97342,object,Severity of Most Serious Attack: 5
Field:Aggr 1 Mst Svr Only Threats,7496,7676,0.97655,object,Severity of Most Serious Threat if Only Threats: 5
Field:Aggr 1 Mst Svr Threat,7639,7676,0.99518,object,Severity of Most Serious Threat: 5
Field:Aggr 1 Name,6921,7676,0.90164,object,Name of Aggressor: مجهول
Field:Aggr 1 Open Ended Mst Svr,7255,7676,0.94515,object,Description of Threat: تخطي الرد
Field:Aggr 1 Open Ended Within 6 Months,7095,7676,0.92431,object,Description of Threat: تخطي الرد
Field:Aggr 1 Reason Unable to Move,7598,7676,0.98984,object,Reason Unable to Move: السبب مادي
Field:Aggr 1 SVT Rating,7096,7676,0.92444,object,Aggressor SVT Rating: 0
Field:Aggr 1 Threat Within Last 6 Months,7355,7676,0.95818,object,5
Field:Aggr 1 Threats Since Moving,7560,7676,0.98489,object,Received Threats Since Moving: Yes
Field:Aggr 2 Attack Within Last 6 Months,7602,7676,0.99036,object,Attack Severity: 1
Field:Aggr 2 Date Most Recent Incident,7504,7676,0.97759,object,Date of Most Recent Incident: 15-7-2019
Field:Aggr 2 Incident Frequency,7529,7676,0.98085,object,Frequency: بضع مرات في السنة
Field:Aggr 2 Moved to Avoid Aggr,7582,7676,0.98775,object,Moved to Avoid This Aggressor: Unable
Field:Aggr 2 Mst Svr Attack,7617,7676,0.99231,object,5
Field:Aggr 2 Mst Svr Only Threats,7618,7676,0.99244,object,3
Field:Aggr 2 Mst Svr Threat,7670,7676,0.99922,object,5
Field:Aggr 2 Name,7415,7676,0.966,object,Name of Aggressor: مجهول
Field:Aggr 2 Open Ended Mst Svr,7553,7676,0.98398,object,Description of Threat: تخطي الرد
Field:Aggr 2 Open Ended Within 6 Months,7496,7676,0.97655,object,Description of Threat: تخطي الرد
Field:Aggr 2 Reason Unable to Move,7659,7676,0.99779,object,Reason Unable to Move: اسباب ماليه
Field:Aggr 2 SVT Rating,7504,7676,0.97759,object,Aggressor SVT Rating: 0
Field:Aggr 2 Threat Within Last 6 Months,7578,7676,0.98723,object,Threat Severity: 5
Field:Aggr 2 Threats Since Moving,7642,7676,0.99557,object,Received Threats Since Moving: Yes
Field:Aggr 3 Attack Within Last 6 Months,7662,7676,0.99818,object,5
Field:Aggr 3 Date Most Recent Incident,7642,7676,0.99557,object,25/1/2019.
Field:Aggr 3 Incident Frequency,7648,7676,0.99635,object,Frequency: بضع مرات في السنة
Field:Aggr 3 Moved to Avoid Aggr,7656,7676,0.99739,object,Moved to Avoid This Aggressor: Yes
Field:Aggr 3 Mst Svr Attack,7664,7676,0.99844,object,5
Field:Aggr 3 Mst Svr Only Threats,7666,7676,0.9987,object,5
Field:Aggr 3 Mst Svr Threat,7673,7676,0.99961,object,5
Field:Aggr 3 Name,7627,7676,0.99362,object,Name of Aggressor: مجهول
Field:Aggr 3 Open Ended Mst Svr,7651,7676,0.99674,object,Description of Threat: تخطي الرد
Field:Aggr 3 Open Ended Within 6 Months,7642,7676,0.99557,object,Description of Threat: تخطي الرد
Field:Aggr 3 Reason Unable to Move,7674,7676,0.99974,object,Reason Unable to Move: عدم تنقلي سببه انه بعد المراجعات الى الافرع الامنيه اخبروني باني اذا غيرت سكني يجب ابلاغهم على الفور
Field:Aggr 3 SVT Rating,7643,7676,0.9957,object,Aggressor SVT Rating: 0
Field:Aggr 3 Threat Within Last 6 Months,7656,7676,0.99739,object,5
Field:Aggr 3 Threats Since Moving,7665,7676,0.99857,object,Received Threats Since Moving: Yes
Field:Aggr Name,6917,7676,0.90112,object,Name of Aggressor: مجهول
Field:Aggressor 1 Score,7101,7676,0.92509,float64,6
Field:Aggressor 2 Score,7020,7676,0.91454,float64,0
